label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	3	2	256	551612	896525	1211449	119579	141441555	1810	9	0	0	99.6	0.000	2	2
size_131072	pool	off	cold	stride	131072	500000	1	1	3	3	256	636265	705173	1000472	144826	167756669	1526	10	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	4	0	256	1071267	1548303	3918984	194595	306663378	835	9	0	0	99.6	0.000	1	1
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	4	1	256	598700	869597	1837634	135975	151238089	1693	9	0	0	99.6	0.000	2	2
size_131072	pool	off	cold	stride	131072	500000	1	1	4	2	256	656300	729895	838684	160447	169034230	1514	10	0	0	99.6	0.000	0	0
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	4	3	256	727820	821599	4250203	171837	217872761	1175	9	0	0	99.6	0.000	0	0
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	5	0	256	576776	959972	1252132	138498	146809205	1744	9	0	0	99.6	0.000	2	2
size_131072	pool	off	cold	stride	131072	500000	1	1	5	1	256	672533	749325	841784	166901	172924014	1480	10	0	0	99.6	0.000	0	0
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	5	2	256	683813	767918	2056446	148626	183586805	1394	9	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	5	3	256	1197048	1557691	1950228	239066	320643354	798	9	0	0	99.6	0.000	1	1
size_131072	pool	off	cold	stride	131072	500000	1	1	6	0	256	596070	704869	769545	111073	154531284	1657	10	0	0	99.6	0.000	0	0
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	6	1	256	799237	1019347	1935552	215764	214308129	1195	9	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	6	2	256	1721796	2007797	2435004	416336	418453746	612	9	0	0	99.6	0.000	1	1
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	6	3	256	609540	974078	1229257	170248	157184193	1629	9	0	0	99.6	0.000	2	2
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	7	0	256	916779	1230822	1343777	246686	233563251	1096	9	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	7	1	256	1496566	1985125	2294590	401292	403945898	634	9	0	0	99.6	0.000	1	1
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	7	2	256	579189	897745	1186007	141680	148080291	1729	9	0	0	99.6	0.000	2	2
size_131072	pool	off	cold	stride	131072	500000	1	1	7	3	256	734359	812463	880672	205079	188603858	1357	11	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	8	0	256	1367215	1980205	2621150	357992	385615240	664	9	0	0	99.6	0.000	1	1
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	8	1	256	566014	858592	1127293	129370	144605509	1770	9	0	0	99.6	0.000	2	2
size_131072	pool	off	cold	stride	131072	500000	1	1	8	2	256	712751	878429	939457	193886	185640042	1379	10	0	0	99.6	0.000	0	0
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	8	3	256	642428	712459	825292	128479	165370895	1548	9	0	0	99.6	0.000	0	0
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	9	0	256	613505	1001490	1289404	177159	157773612	1623	9	0	0	99.6	0.000	2	2
size_131072	pool	off	cold	stride	131072	500000	1	1	9	1	256	840248	947916	1033336	246829	210370457	1217	10	0	0	99.6	0.000	0	0
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	9	2	256	636314	776493	847509	124460	165628873	1546	9	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	9	3	256	1149287	1880875	2326462	272037	337581651	758	9	0	0	99.6	0.000	1	1
size_131072	pool	off	cold	stride	131072	500000	1	1	10	0	256	710014	1247500	1304964	253902	213540477	1199	10	0	0	99.6	0.000	0	0
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	10	1	256	856856	993801	1117616	211783	210454722	1216	9	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	10	2	256	959045	1358461	2134765	138994	262379739	976	9	0	0	99.6	0.000	1	1
size_131072	product_ahead	off	cold	stride	131072	500000	1	1	10	3	256	590746	859807	1232785	132432	153258440	1670	9	0	0	99.6	0.000	2	2
size_131072	hybrid_lazyring	off	cold	stride	131072	500000	1	1	11	0	256	790021	962656	1125974	211452	208696489	1227	9	0	0	99.6	0.000	0	0
size_131072	product	off	cold	stride	131072	500000	1	1	11	1	256	1069564	1337138	1769316	159988	276818528	925	9	0	0	99.6	0.000	1	1
