# depth_read_bench · lab/fixtures/frames_16k_big/frames_16k_big.sbnd · asks=1024 size=16384 stride=250000 repeats=6 workers=4
arm	temp	depth	repeat	asks	p50_ns	p99_ns	wall_ns	cpu_ns	threads	resident_pct	asks_per_s	cpu_ns_per_ask
pool	warm	64	2	1024	1864	3444	827851	2619847	5	0.000	1236938	2558
uring	warm	64	2	1024	160066	342882	3859065	3933565	5	0.000	265349	3841
pool	warm	64	3	1024	1935	2776	720906	2477258	5	0.000	1420435	2419
uring	warm	64	3	1024	147125	254003	3573076	3644061	5	0.000	286588	3558
hybrid	warm	64	3	1024	1975	6625	3136602	3151512	5	0.000	326468	3077
uring	warm	64	4	1024	141416	248493	3643908	3715834	5	0.000	281017	3628
hybrid	warm	64	4	1024	1944	3077	3313649	3325610	5	0.000	309025	3247
pool	warm	64	4	1024	1934	5072	758972	2593363	5	0.000	1349193	2532
hybrid	warm	64	5	1024	2025	8698	2887550	2899828	5	0.000	354626	2831
pool	warm	64	5	1024	2020	6921	929376	2942460	5	0.000	1101815	2873
uring	warm	64	5	1024	151032	214967	3048305	3129648	5	0.000	335924	3056
